,id,description,location
12,387929956,"Cardiologist / cardiac imaging specialist.TTE,TEE EACVI full Certification. Adult comprehensive  Echocardiography,NBE certified. level II CMRI certified, SCMR.",United Kingdom
34,2603134384,"Paediatric Cardiologist. Fetal Cardiology. Paediatrician, Medical Education. Views are my own.","Sydney, New South Wales"
43,289848248,Dad | Husband | Jew | Gastro Paediatrician | Cancer survivor | #ChelseaFC ST holder | ADC SoMe Editor\n\nViews/grammar don't represent employer/human race,London
79,852685603,"Anaesthetics Reg, MD student and Triathelete. Looking to improve health outcomes in Scotland and Parkrun times.","Glasgow, Scotland"
145,1466072166751948812,"Building the future of workforce @ Lantum. Ex-DHSC, Ex-NHS. Expert in gently persuading NHS MDs to become tech leaders and change the world.","London, UK"
180,1076537528725979136,Italian Cardiologist of Tomorrow board member #ICoT 🫀ACC early career international board member #ACC ♥️ #AEPC2022 Social Ambassador 🌟#Womenincardiology 🇮🇹,"London, England"
189,258371813,"Cardiologist, Inherited Cardiac Conditions","London, England"
194,303690547,"Paediatrician with high-dependency interest • Running🏃🏻‍♀️ • Coffee, always","London, England"
197,451756372,"Mum,Interventional Cardiologist, BCIS Council, Aviation Cardiology, Author of Swanton's Cardiology, Prince fan, Pelotonian, chocs!! Views r mine!. 💙",United Kingdom
274,42741304,Paediatric Surgeon. Advocate for sustainability in healthcare. Enthusiastic (injury prone) runner.,"Kingston upon Thames, London"
321,327723402,"Consultant Paediatric Cardiologist @bwc_nhs Imaging, Sport, Exercise & Rehab. 🇹🇹🇨🇦🇬🇧","Birmingham, England"
323,299276741,"Consultant Paediatric Surgeon, Cricket enthusiast, interested in Education, Leadership and Innovation, Proud father of two :)","London, England"
361,166642953,Kiddy Surgeon. Bibliophile. Cyclist. Glutton. Sith Lord/Dad Vader. Slytherin. Peter Pan. He/Him.,"Sheffield, England"
422,700812243701776384,Paediatrician developing expertise in cardiology and pulmonary hypertension 🫀 🫁 👩‍⚕️ also interested in hard sums 🧮. Views my own.,"London, England"
425,1260311408283136002,Touching the hearts of little angels and helping them to heal.\nPaediatric Cardiac Surgeon- Evelina London Children's Hospital,"London, England"
440,1124615241021710336,"Paediatrician @EvelinaLondon ,clinical academic @KingsCollegeLon, Neurodevelopmental,epilepsy, long term conditions, mental health:Views personal #Recovery4Kids","London, England"
